n,score
1,7971.053543881776
2,3212.3248595779196
3,2539.1105625221485
4,2039.2402531862572
5,2031.617969195871
6,1922.5850292480568
7,2008.0521172560864
8,1832.898224531274
9,1832.5182232268755
10,1992.2608466601805
11,1986.338360697485
12,1818.9455823459987
13,1950.4465230536289
14,1816.0939882949742
15,1954.7203761883463
16,1828.2330360722283
17,1938.5727672643668
18,1803.5758769447198
19,1800.4707618702612
20,1938.4128200746406
21,1941.3308886948587
22,1797.9847357863896
23,1928.3768078248252
24,1792.5432407407245
25,1916.3808922349538
26,1793.2263134766645
27,1911.5825612011186
28,1780.9292514305353
29,1896.6721526901217
30,1754.3895194674851
31,1891.372734512895
32,1776.7242191401342
33,1768.2397339653544
34,1900.316135862318
35,1745.2318850917827
36,1884.8149949565206
37,1716.5439882629669
38,1842.6166200614337
39,1804.3375536698898
40,1678.29447495268
41,1770.0332854117985
42,1759.1165214912314
43,1722.20768472062
44,1722.399919761524
45,1789.028581868559
46,1598.0600724686985
47,1678.0249311240498
48,1584.8843443436765
49,1514.7653742724005
50,1615.1793834096254
51,1598.3800255621613
52,1442.6741872390012
53,1545.4610543617232
54,1413.3396234155719
55,1468.677444604375
56,1381.523468642309
57,1410.2069070911036
58,1342.6086354535512
59,1312.1314624913737
60,1370.8124959363122
61,1282.9038079289983
62,1342.3603430083297
63,1268.1629473446146
64,1321.4859216243603
65,1245.9221744206266
66,1306.307872324104
67,1236.8665340704315
68,1290.781382602698
69,1223.459780189163
70,1283.4013472194183
71,1258.6309816449516
72,1228.1130576954847
73,1215.8418248348771
74,1247.179222682291
75,1201.9102913995987
76,1234.2222792394657
77,1193.7103027994676
78,1225.1267859229642
79,1182.8281885117149
80,1214.1886388813614
81,1174.8783257575215
82,1201.9402049736211
83,1168.1146513200272
84,1188.259061905705
85,1161.316208624018
86,1174.0748996617808
87,1151.981930231511
88,1182.9367989506843
89,1148.676617037527
90,1167.072314119643
91,1159.0555361354507
92,1158.650218141079
93,1133.9548968888985
94,1139.7811921479802
95,1106.0964884808259
96,1128.6807260870569
97,1115.298289156139
98,1095.8245212472455
99,1088.2158771295867
100,1086.565271771648
101,1054.8021168930702
102,1161.19351029599
103,1184.74567991347
104,1077.8678250881283
105,1155.177395746944
106,1098.6615372748959
107,1068.7311588006526
108,1099.5408970176275
109,1088.9608561933646
110,1036.410968475508
111,1098.5576226086419
112,1035.9460965511537
113,1012.961406080839
114,1070.359284171665
115,1073.566122280402
116,1007.695618913937
117,1041.7091174237971
118,1001.0249162326278
119,1036.6063310472664
120,984.7301100236812
121,973.5347378784055
122,1032.1711530811629
123,1022.575328699183
124,947.7574033794468
125,945.192043868742
126,999.4563303609533
127,930.7419846119
128,979.3227943111931
129,909.5190132613377
130,1000.0562770285729
131,981.7773756793974
132,929.9316771645056
133,964.7732179601002
134,914.2031907800066
135,928.2754888435136
136,878.931404303529
137,927.5338023574662
138,848.3683400060999
139,919.5361870861624
140,845.9929851797035
141,907.4826069219854
142,824.2498790323491
143,815.109318631986
144,896.2111223655011
145,890.1342767818685
146,814.0451589398098
147,817.9114049587723
148,883.8354874405013
149,781.9386828578015
150,899.3585355802712
151,865.7913465833116
152,790.9023862984606
153,861.0296865893688
154,778.2668013472514
155,780.7956605160015
156,849.5694811764274
157,845.5264822919307
158,765.2276915774344
159,823.1185719668965
160,730.6982906668325
161,726.9131919032668
162,831.8279328884503
163,803.3358220385702
164,741.5376077283007
165,733.4015268148457
166,817.477460849129
167,802.0466859610732
168,729.6124965096639
169,689.2859318476325
170,805.8287042069891
171,731.1660552507526
172,835.1785284829871
173,712.526076764168
174,826.8483581624247
175,782.3699045827898
176,704.5521362065721
177,704.7699199104841
178,774.247445966677
179,680.652558237812
180,752.3565388525644
181,753.3441713685675
182,674.2655130397154
183,667.9133434217122
184,735.5349463879376
185,737.3317436401809
186,661.2849924098332
187,653.597241573158
188,740.6148536240006
189,740.0949609699306
190,640.9093699727403
191,637.9622342007666
192,719.4279437485648
193,623.8046091232097
194,718.7545018669654
195,616.9814234948775
196,712.9248275629727
197,622.1767284189522
198,722.0918681617832
199,625.0977301533007
200,702.1662651435329
201,607.2521892332945
202,697.0803575722332
203,683.9863786035068
204,615.1846607085274
205,598.3623473202158
206,697.3030139581538
207,721.1537562061959
208,588.9362375227035
209,733.2613463059834
210,609.5036578508902
211,678.3106015327511
212,571.0755945410838
213,583.1419376212868
214,676.6364093666796
215,589.6957300113048
216,665.0839044249619
217,566.3848350165362
218,662.6116482901072
219,555.459355271888
220,642.1782445286856
221,540.1468360346651
222,628.9506845498458
223,532.9250470686964
224,636.8556105516755
225,651.2212164452485
226,527.753001022904
227,641.3276366461748
228,649.7033434100346
229,540.1508233687322
230,687.3179271625013
231,514.0127657582977
232,656.6252126005879
233,628.5641209879649
234,585.8293248276965
235,630.3526222254625
236,536.3568390338925
237,529.1501282181418
238,660.8090834769278
239,621.3017759685166
240,548.7650682196825
241,585.7543008151539
242,540.0505500316905
243,521.3216147173091
244,613.7866525385031
245,523.3871410842544
246,583.8707281629573
247,501.9644304196684
248,594.6317205955982
249,506.70137034673144
250,570.073042368556
251,612.8197220415235
252,495.69156019414123
253,630.1360889740184
254,496.33713579218386
255,533.11104678994
256,597.2732912719454
257,610.3354547919257
258,513.179977096939
259,601.381755787555
260,519.9587264866112
261,581.8859062669368
262,488.7463371976592
263,491.5589994353953
264,569.295162916308
265,561.9495482601322
266,503.2583057130348
267,550.1663020395752
268,489.8830755724737
269,460.85598689003365
270,548.8531425597944
271,471.7774528024266
272,528.8625784121173
273,464.3907668790558
274,527.8658741414272
275,519.6788457904305
276,457.863840930301
277,442.48534072165626
278,526.4949026079336
279,448.8867982862422
280,514.7156002298719
281,532.8239669186831
282,449.97384818270893
283,509.4838949435553
284,470.86158551404037
285,497.36708329508065
286,467.334815149567
287,488.4989773146511
288,431.51241567269943
289,482.8478469682482
290,419.89578875437303
291,499.8232282092188
292,422.0300237951531
293,476.05337332481633
294,417.61891199232105
295,408.85623945466614
296,500.11175179776444
297,405.98142047432566
298,481.492152761018
299,475.8091106829271
300,414.57464879744043
301,397.7261349367378
302,510.50471766733546
303,487.7196390454797
304,431.303467033513
305,404.0105816232945
306,483.5581926389264
307,419.0894380079203
308,493.9515659215328
309,511.688195739729
310,1254.3306440194833
311,1121.6865468537783
312,767.118734422988
313,1005.4000641674735
314,846.5649711753255
315,809.6978443001823
316,754.2174451525988
317,826.2301582675962
318,791.1465025258624
319,775.6400867284982
320,729.1954267987235
321,761.3693579424881
322,689.3836977360021
323,744.8652337120815
324,638.9824672555167
325,721.0053048554083
326,617.5085137239172
327,687.6477245054591
328,587.2503294624681
329,560.0044878023665
330,682.4659597850315
331,555.1995360939359
332,655.1091458884424
333,536.7866619152628
334,642.3174398998208
335,519.6898392049956
336,609.8393990088732
337,503.3280278585555
338,595.9773748707465
339,591.6386891635993
340,495.6283267946509
341,499.58944119025716
342,578.3591817618155
343,569.868865702063
344,509.5330645968946
345,558.7912279308578
346,479.68436585032254
347,463.6524260128705
348,560.767116094605
349,547.6156701969722
350,466.5147765987573
351,542.4579094188308
352,458.5748591729972
353,447.63292479917783
354,517.2638647571526
355,519.1637043279229
356,439.1179182874743
357,507.5374150060771
358,440.4688903717211
359,426.7437037054559
360,497.877742466393
361,429.3972632002895
362,489.5191517599933
363,484.73860316057886
364,413.75346009271954
365,476.81846267543324
366,427.2233356624891
367,407.0794318372994
368,489.1686792437416
369,405.99383332141235
370,479.4950818077051
371,415.17072661551623
372,480.48161955638307
373,409.35722639727084
374,491.17367503944774
375,520.9747308704438
376,400.2774740463311
377,422.9706424690432
378,459.70009385433855
379,401.9239651662689
380,488.2302129607442
381,396.3022122180693
382,502.2556552369679
383,387.22835011247827
384,608.2355636765238
385,491.86461480084097
386,440.59682687937305
387,431.5568220203014
388,517.4875203563475
389,501.7326465267874
390,407.69945867370404
391,425.1922988911034
392,521.5441005040107
393,464.75089129441204
394,418.18976851328256
395,403.44280896775945
396,454.06684917349435
397,455.25017931763944
398,400.5497043084934
399,458.922302069532
400,395.7610255326657
401,386.9842495881684
402,430.07394605818683
403,425.7213008217671
404,384.9055676711809
405,418.7587887171849
406,366.1486153692503
407,361.9910040021344
408,415.0081516055346
409,352.8993061141531
410,415.7226990378316
411,344.40379893726305
412,412.9596336045165
413,399.8494347119608
414,347.1318382745911
415,347.81616777290554
416,391.1799112538608
417,390.0519707281713
418,338.7607615606742
419,376.32056540986866
420,340.6358444285614
421,370.90920261763137
422,336.00687647195235
423,331.38029671669204
424,369.47641234027236
425,365.53443461047345
426,325.874008309446
427,360.565666753502
428,321.535284736246
429,358.6132675240335
430,320.70291869733927
431,357.4596061594591
432,325.48454102134764
433,372.0024055414926
434,320.23796371995684
435,322.3697347329385
436,366.6863588208523
437,373.9605322441708
438,329.4608810207551
439,388.753443951401
440,324.0747055212582
441,334.66856112211156
442,368.92378918214655
443,333.13239330239253
444,371.6079162409142
445,315.9184616933962
446,387.9597945106457
447,328.3812448513773
448,376.1287456899993
449,364.7657986701207
450,323.923234306486
451,323.86479917629566
452,347.26513933416163
453,339.92916418711
454,316.9252398624419
455,307.145339950472
456,348.3368707480444
457,311.62619712092607
458,340.3467368511695
459,332.2378855983637
460,305.16493560863745
461,297.8687706338727
462,338.69744882368326
463,299.06247446101435
464,332.8448735871571
465,296.0582780050046
466,326.13058599985817
467,291.3297969144344
468,319.21541747767793
469,283.1860092015277
470,328.34674935067505
471,315.6034220420464
472,297.77460171994585
473,310.1882799155014
474,291.80509237596567
475,306.40662197988473
476,283.0421617964102
477,300.7919784400174
478,272.93319941141453
479,316.24687555189496
480,281.85443925738525
481,284.0730033024897
482,312.4973515251677
483,291.5969286891122
484,309.01988926871377
485,288.79964715545776
486,308.90938632472415
487,307.2524606311691
488,275.96435421155627
489,301.9515799147208
490,286.148747109589
491,292.913785298267
492,272.3405553270312
493,264.99430930088124
494,314.08595095966655
495,262.09310618506794
496,302.4090392925226
497,263.32161205402184
498,287.1366181985855
499,262.5383032774714
500,282.41377536764446
501,256.815613110226
502,279.2513026741637
503,274.68152814184145
504,258.8253899154663
505,249.73418670720775
506,287.6740806894816
507,248.90930826095504
508,288.69267407940845
509,274.83250943061546
510,269.651619737131
511,256.63199719600993
512,294.3889704219984
513,280.8075661671448
514,283.71089856619324
515,277.8419104100251
516,278.87652735682207
517,266.51729746596226
518,292.98547527264105
519,285.7066708534725
520,275.5238578033865
521,302.27120219514336
522,275.68056901881005
523,260.4310415248274
524,279.23159651156965
525,273.3906070559679
526,274.5374273648828
527,294.1298695819086
528,305.0545112571609
529,308.1951872223438
530,306.97919217072877
531,367.3341523883916
532,317.5511771481247
533,341.4231084064073
534,401.2090390191298
535,352.0036946811723
536,429.83111738908735
537,339.1667474208297
538,322.70488741001486
539,342.2256981930797
540,395.2295120965782
541,339.8921187236703
542,395.43172028407406
543,354.0397039362651
544,345.73294810583616
545,307.3173238063216
546,366.35415203876914
547,350.5824100001362
548,329.09336358688876
549,320.9846717047079
550,328.6681297570775
551,300.89072188148873
552,332.25715282248007
553,318.80237661630196
554,307.72662565090945
555,300.85454320074206
556,292.5831204307802
557,283.76818955706585
558,288.07856923759186
559,286.9157773156976
560,267.8957676982284
561,272.5399312859891
562,256.5026024497923
563,271.9135382475886
564,260.14660365057136
565,261.75301185993777
566,253.1378070007022
567,256.6236130924307
568,246.96316909383387
569,249.62599845307756
570,242.9504589415959
571,242.93588858441552
572,239.1635036519894
573,233.39599855350252
574,247.9981002486151
575,244.8402126868891
576,240.79011360870368
577,242.5830005485441
578,238.14685679154212
579,228.52866464030438
580,236.55386204494965
581,230.71205927472624
582,233.30822734571893
583,222.81600271120078
584,230.19711886775823
585,222.97375154702692
586,225.6058287239536
587,220.38640837037005
588,230.9296235641607
589,221.73178171440867
590,222.620114902559
591,218.52194763769438
592,223.62710458662488
593,215.6534411241674
594,220.4479458077021
595,217.76301059030243
596,210.88705469115303
597,216.9826646837003
598,215.36923143715245
599,209.27767201612582
600,213.46861811517962
601,208.54965458746648
602,212.8458231186453
603,206.1268274965291
604,213.17750610311924
605,208.79232263842516
606,200.48046781725827
607,203.29590079551213
608,203.4464748752029
609,205.99357112439185
610,210.87965039544937
611,210.81095820581282
612,218.74718043075916
613,228.81139696564887
614,242.33443048380929
615,232.79420886459792
616,239.04537562764295
617,221.00554853904362
618,310.4087900747076
619,325.1657265732188
620,406.98537965370525
621,353.3354087737624
622,388.6239308667466
623,306.040617226123
624,431.7962265697375
625,286.7539406035452
626,300.7881648292695
627,412.8537030345445
628,287.64046756883005
629,269.1181729789658
630,331.38151976447216
631,299.13219258005347
632,264.83241020703167
633,268.39779965371775
634,327.62329181905585
635,262.34178319127454
636,269.3897488385669
637,251.98039532208458
638,263.45889228541137
639,245.59038885969935
640,258.1579165433598
641,249.19610192378218
642,244.494268606341
643,234.13808484260443
644,239.0936255176309
645,235.71650038760262
646,229.15243530375864
647,222.24216085873928
648,222.0688987858531
649,220.5018233330951
650,212.59416895300882
651,207.64704495504776
652,212.23977647761325
653,204.86310802508564
654,216.07751098855582
655,210.07910570358473
656,202.69001067467335
657,198.19595366216436
658,207.6466180192484
659,192.30263576884497
660,197.70450632311628
661,192.5908048280409
662,191.27813414523715
663,188.65325565147552
664,187.81727228733513
665,186.12241328036964
666,180.3051739544372
667,184.46293085439845
668,177.71860677784062
669,178.67235315982288
670,182.74661816472278
671,185.74604492078404
672,187.03956860163302
673,188.49754925576545
674,181.9301413953514
675,181.51658814304247
676,177.85082964264672
677,174.70978130009934
678,181.7748709772108
679,170.9684507452202
680,174.34220057986275
681,173.35186503956834
682,171.93803752607923
683,171.4154914817068
