n,score
1,9276.406571289259
2,3697.254409239655
3,3711.459931695604
4,3530.6214020582875
5,3197.305766601277
6,2951.470684585015
7,3015.0003335399224
8,2367.6495828324482
9,2347.2956156299983
10,3881.00530540137
11,2411.5393810015503
12,2112.7537958264274
13,2026.6136351199593
14,2290.126225471748
15,3917.8933689367286
16,2246.602318535766
17,3713.2374592675505
18,2507.838345867479
19,2329.8656809811964
20,2243.9190718602395
21,2939.2079980390386
22,2227.4944282627584
23,2154.2681092480916
24,3965.224115257323
25,2648.459131501464
26,2161.6218328768305
27,2025.8084167424875
28,2316.7810914740016
29,2257.3335654358048
30,2344.5761916308147
31,2327.410585035882
32,2260.006182604355
33,2197.7367691286786
34,2110.901169986852
35,2758.98522593931
36,2280.2074456132204
37,1898.5998202539147
38,2490.508053382256
39,2776.525153002733
40,2725.916022910222
41,2838.966308909837
42,3628.65062969371
43,3675.9133343954754
44,2436.028829131376
45,2181.777631734955
46,2360.7739756408646
47,2244.4500186747555
48,2212.8599580813384
49,2195.9886620233074
50,2429.951599892823
51,2361.5746941218626
52,3757.8674626040515
53,1796.9815203709059
54,4021.1575828730897
55,2636.820004238096
56,2458.5883864486896
57,2421.9646896780314
58,2054.0077619198364
59,2323.571848044682
60,2843.855442605156
61,2266.052386237504
62,1903.2935425265948
63,2429.8538119880127
64,2027.3514984138471
65,2329.2903693718317
66,2590.6950093199184
67,3845.676601623937
68,2178.0616832296523
69,2218.158003624478
70,3881.8544737547354
71,2694.2145305095282
72,2287.204273357418
73,2074.0334044605306
74,2268.7033481524063
75,2063.9912087048247
76,2467.4265372650607
77,2110.044524136045
78,3328.3019218841023
79,2191.2051469108974
80,1872.2253485594274
81,2162.0009177261586
82,1848.2261311387385
83,3349.6820682051207
84,2028.2837853548613
85,2028.8518287585268
86,1807.4106624836768
87,2442.530769241342
88,1996.0852146250243
89,1879.1971736904175
90,2024.1731966439288
91,2029.552923306054
92,1641.4243556960655
93,3129.472505728761
94,1635.227949661208
95,1955.7981321982472
96,2260.9989324935473
97,1603.0868406234463
98,3091.655704920539
99,1688.7958766956503
100,1827.4336291575082
101,1691.921211958106
102,1810.4120779608259
103,1561.7404477288007
104,1826.141192170634
105,2375.576048905059
106,3062.882204859816
107,1990.3009852610605
108,1771.900987680418
109,1827.0142673114544
110,1756.832214769229
111,1756.5134846675435
112,1794.4895220062929
113,1747.3950323618726
114,1628.9405266873373
115,1489.2915880343392
116,2660.397400292363
117,1710.9754659537166
118,1460.80388421225
119,2245.824683967183
120,1560.3687708858602
121,1615.8661554998137
122,1560.2214768275778
123,1534.620667691104
124,1606.9432435004328
125,3178.80095095509
126,1451.9853320395964
127,1580.796404134504
128,1421.660899698766
129,1515.930406853426
130,1332.3084026655783
131,1867.0801602601164
132,1575.5422279068414
133,2331.748179274953
134,2077.9961406105886
135,11530.97650204172
136,1979.8804243047402
137,2446.9909227628527
138,1484.793428115104
139,1760.9691239925467
140,1425.8848314384052
141,1534.0718191322658
142,1820.098677058412
143,1486.3580354832925
144,1576.3682790740645
145,1405.006685219091
146,1582.209776777029
147,1419.6731951489128
148,1206.8147997385056
149,3362.682051617972
150,1280.1256783838644
151,1569.793493786982
152,1465.1945285736415
153,1521.6275592366721
154,1248.405428619897
155,1354.1206655737528
156,1407.9785744591911
157,1728.5603316263976
158,1595.3197110481146
159,2146.7786588414906
160,1336.9260859044966
161,1300.2654441628706
162,1711.8002737403015
163,2679.258531391845
164,1550.3608949040572
165,2652.5276254706414
166,1467.2276956280061
167,1587.530502966532
168,1296.5849837721844
169,2282.233395545512
170,1554.8127601276663
171,2179.1642876594647
172,1326.0001573415643
173,1351.1606627262493
174,1682.5356988893227
175,1214.9114275638938
176,1450.5148893683158
177,1254.3761350223003
178,1647.011050386438
179,1800.6829419869669
180,3096.959951402853
181,1159.4114083414659
182,2150.93073617754
183,1935.3416574947025
184,1645.8433776131228
185,1534.135494121905
186,1518.585819352713
187,1260.8925989830377
188,1359.3656459266354
189,1386.768252001849
190,2699.2990133869753
191,1425.7199154638586
192,1314.7969543462098
193,1159.9658862849894
194,1349.4662225903962
195,1454.762198398403
196,1320.5948959002603
197,1372.7992841604803
198,2491.405415120858
199,1174.1261738923797
200,2136.7839314293496
201,1818.0446132361133
202,1281.0789732525825
203,1318.9895283422798
204,1331.1227603288753
205,1415.8457147850165
206,1388.4573443370114
207,1100.5988765251277
208,1451.3248888868645
209,1080.305536305643
210,1184.5125046443648
211,1183.5479530077391
212,2008.0671760512014
213,1086.2702279230255
214,1227.0334533214302
215,1128.2316376552083
216,1197.9056553234425
217,1006.5913162998567
218,1667.2348006753919
219,1557.9972971237064
220,1727.3526400700578
221,2672.002718556377
222,1498.452132578401
223,1495.404824820976
224,1464.7475810744818
225,1670.4211859140519
226,2142.1601288263337
227,1213.0196663639542
228,1361.8211034658893
229,1740.7922304544338
230,1987.8499866914008
231,1180.627165140153
232,1565.0949584156022
233,1623.6493135505593
234,1180.7441031150113
235,1480.9077938616726
236,1460.3596184425364
237,2668.6430477082426
238,1181.5170214661355
239,1316.0513542667577
240,1106.496165822238
241,2637.253438458345
242,1209.0722290361273
243,1310.6161839002245
244,1751.767284992046
245,2260.759779658695
246,1100.3540702767707
247,1285.1157906734554
248,1197.3875095451067
249,1310.3667207529525
250,1353.772670875275
251,1165.4708441747068
252,1286.9147074048526
253,1492.4413434463975
254,1043.556992374822
255,1333.2368154002204
256,1223.6405092565333
257,2036.110348587549
258,1107.4839836749165
259,1858.0184636418662
260,1175.1687677987593
261,1290.245337108874
262,1267.3067615302898
263,1091.639159904079
264,1385.3914497333294
265,2740.8370816022416
266,954.618661077802
267,965.2440353154485
268,1038.7725908507996
269,1081.231144711425
270,1169.9771580724316
271,940.4057169968366
272,1079.0432840917672
273,2375.119499142675
274,1050.036831741713
275,1050.778370844637
276,1329.325710805799
277,1510.4113607978095
278,1675.0407112092807
279,1028.411329900946
280,895.2540221884673
281,874.3527437193771
282,999.3940475482915
283,875.3798403071643
284,991.8712457414645
285,1021.2899201722264
286,707.2748595977673
287,931.670774530554
288,833.7346538943982
289,1012.9083461707894
290,2790.3786867490808
291,774.6343559285634
292,1063.809720513852
293,861.2698654298324
294,1084.8017554618657
295,887.1240245609192
296,1685.5290817779255
297,1743.366163592343
298,1003.9233393693941
299,1326.0985802425666
300,1491.5004654759894
301,1345.7331352822769
302,1083.3330517040035
303,1780.397903320471
304,1935.0881397312462
305,1633.4142798404057
306,1330.3701876031814
307,1122.7217357795814
308,1427.1042910675667
309,1188.3669214363476
310,1190.5621158788283
311,2155.4894310193718
312,1159.012571563826
313,1266.98561305969
314,1091.0378257388618
315,985.8480470233817
316,1138.9853740047354
317,1136.1331680578035
318,1035.889210529278
319,1099.788183598472
320,1054.77823199246
321,899.6512598798213
322,1025.614850572413
323,846.8774328761546
324,863.9728071823732
325,793.4518904049045
326,2561.966748844277
327,1623.0464023110035
328,1369.2977861414802
329,977.676898469406
330,703.4461240638799
