n,score
1,9274.917229967847
2,7768.087725530297
3,3057.405649591283
4,3078.138508050254
5,2983.8695122770805
6,2557.0757707403777
7,2419.2847799578353
8,3260.747684354121
9,4264.9375601521915
10,2447.537964378377
11,2506.8960619718737
12,2068.55089921205
13,2435.3337743415295
14,3152.503471898554
15,1919.1655820086967
16,2697.295819679259
17,2001.9803667675792
18,3939.731682274309
19,2285.355799066787
20,2720.3154953445696
21,2263.594420049279
22,2395.036328894962
23,2026.2464525401394
24,3770.152776864642
25,2980.547543777734
26,2525.707856644494
27,2266.4396297264398
28,2879.1654761857103
29,2238.850975509954
30,2686.0007702464623
31,2837.7296124251848
32,3487.3829678010534
33,2160.5975582477618
34,2403.727146355653
35,2275.9538648004323
36,2462.4127242900554
37,2407.19577050375
38,2126.4321561643574
39,2194.3789645206
40,2216.10821823546
41,2751.16313287776
42,2379.3000579048953
43,2150.3944836209434
44,3951.8182374169573
45,2151.597444323838
46,2319.5956308069444
47,3829.664605165578
48,2287.106612659427
49,2398.12453647543
50,2395.0704287004073
51,2160.6842804700827
52,2152.27688285241
53,2301.7906200916063
54,1982.568998923642
55,2372.4972746884605
56,3760.343512546596
57,2057.325977128792
58,2397.004726612754
59,2720.8331293473007
60,2867.9330119301035
61,2101.0118957219916
62,2307.100542298537
63,2186.698463824267
64,2281.876949089733
65,3836.026623165144
66,2419.4043252956353
67,2716.7576121204315
68,2289.4214430438014
69,3640.0296078809947
70,2150.9976328283365
71,2839.7688802367084
72,2365.7508213091887
73,2365.4957018777786
74,2441.852885748064
75,2077.4727647932023
76,3396.1458664447246
77,2377.330440384281
78,2525.4110086532687
79,2343.086058106007
80,2101.967405866706
81,2321.85558980708
82,2866.2513428758834
83,2162.927369675721
84,2169.0882591452955
85,2468.510865584124
86,3735.59338279738
87,2366.1466040889086
88,2415.27160255013
89,2356.6744322382174
90,1969.0455241375387
91,2337.649038437265
92,3880.406604892891
93,2798.925644240218
94,2252.4109917258784
95,2220.868262990587
96,2183.7217752899073
97,2528.5679645640876
98,3036.1434028218555
99,2506.7664491145515
100,1883.601897936705
101,3948.0103457502273
102,2258.0674762973317
103,2031.0008256648134
104,2269.3682571517757
105,2275.980561518568
106,2126.8184508498784
107,2330.6382726283205
108,2791.7691297160186
109,2843.816490967777
110,2843.73054938185
111,1896.4192641391828
112,3932.942940425975
113,2181.69561824743
114,2663.5215393815665
115,3656.451706985195
116,2043.1014812188473
117,2261.617711535276
118,2325.9526676844234
119,2201.377956819632
120,2627.29250434774
121,2378.6347862794373
122,2081.3725759168956
123,2079.2419593242043
124,3939.3808756662443
125,3528.8047068562864
126,2520.5932833731126
127,2499.653344285932
128,2983.5000263000475
129,2355.1059858371723
130,2208.2348943320976
131,2136.3838212912733
132,2497.428257169619
133,2498.5461784577033
134,2246.528112161259
135,2696.742223795003
136,1964.400303544953
137,2157.8157071579517
138,2316.636749959205
139,2368.051297037819
140,2168.6577373577848
141,3766.649430882608
142,2828.5615370514597
143,2296.8964977955116
144,2415.9245754892213
145,2418.5014828942644
146,2768.515158729552
147,2303.094507572993
148,3700.060575997673
149,2342.1914375080437
150,2143.076208049294
151,2411.303509034615
152,2288.246143156444
153,2352.633113337547
154,2076.671938561315
155,2384.669503861868
156,2078.844802584502
157,2625.860922186018
158,2349.2334843215544
159,2964.755948280254
160,2338.8047799211326
161,3412.3704573538853
162,4003.8467767671605
163,2120.1607475392266
164,2351.002063259436
165,2228.1094939733534
166,2590.9307893313267
167,2205.7315747190446
168,2409.5323577780346
169,2520.0714214110394
170,2104.4503280368185
171,3518.6485705453038
172,2268.1776220346146
173,1992.0969304227228
174,2263.813603297273
175,2573.374884529029
176,3693.403451517467
177,2221.0072174873726
178,2849.474265298998
179,2488.859770396423
180,2450.5668072772646
181,3741.77066968558
182,2247.1813208244125
183,2354.8334278984116
184,2139.937439090301
185,2076.8322221951544
186,3798.15400786187
187,2000.868857263406
188,2734.461637108166
189,2317.100802265704
190,2306.6877206252707
191,2283.3815725260342
192,2897.0187833765995
193,2227.614979186745
194,2270.8029716487913
195,2491.0598099348003
196,2396.358641098089
197,2183.391360440588
198,2654.1906813781416
199,2905.5764267775944
200,2227.2678372254936
201,2035.9508239011823
202,2264.9377671306142
203,3526.5051547602425
204,3902.5781550987663
205,2068.9968611509803
206,2417.0891514429522
207,2415.676558129338
208,2088.070605099634
209,2276.147268881068
210,2492.449273501638
211,3643.7693430107724
212,2243.2302835810483
213,2294.131164823532
214,2031.3574851797005
215,3782.8748206422083
216,1909.6806049262987
217,2554.0925912480784
218,2127.5288683343133
219,2487.1238361769983
220,2810.041313807183
221,2591.7068404938263
222,2342.10991580154
